GameID,League,Season,Date,HomeTeam,AwayTeam,Result
8468219,argprimeradivision,2017-2018,03.12.2017,Tigre,San Lorenzo,1:2
8468218,argprimeradivision,2017-2018,03.12.2017,Talleres de Córdoba,Estudiantes,0:1
8468220,argprimeradivision,2017-2018,03.12.2017,Boca Juniors,Arsenal de Sarandí,2:0
8468221,argprimeradivision,2017-2018,04.12.2017,Gimnasia de La Plata,River Plate,2:1
8468222,argprimeradivision,2017-2018,04.12.2017,Lanús,Vélez Sarsfield,0:0
8468223,argprimeradivision,2017-2018,04.12.2017,Atlético Tucumán,Colón de Santa Fe,2:0
8468224,argprimeradivision,2017-2018,05.12.2017,San Martín de San Juan,Banfield,2:1
8468216,argprimeradivision,2017-2018,25.01.2018,Independiente,Rosario Central,1:1
8468234,argprimeradivision,2017-2018,22.11.2017,River Plate,Unión de Santa Fe,2:0
8468236,argprimeradivision,2017-2018,23.11.2017,Vélez Sarsfield,Godoy Cruz,0:1
8468230,argprimeradivision,2017-2018,30.11.2017,San Lorenzo,Atlético Tucumán,2:0
8468225,argprimeradivision,2017-2018,08.12.2017,Temperley,Tigre,2:1
8468226,argprimeradivision,2017-2018,08.12.2017,Patronato de Paraná,Olimpo de Bahía Blanca,1:0
8468227,argprimeradivision,2017-2018,09.12.2017,Belgrano de Córdoba,Huracán,1:0
8468228,argprimeradivision,2017-2018,09.12.2017,Banfield,Argentinos Juniors,2:3
8468231,argprimeradivision,2017-2018,10.12.2017,Arsenal de Sarandí,Independiente,1:2
8468229,argprimeradivision,2017-2018,10.12.2017,Rosario Central,Newells Old Boys,1:0
8468232,argprimeradivision,2017-2018,10.12.2017,Colón de Santa Fe,Talleres de Córdoba,0:2
8468233,argprimeradivision,2017-2018,10.12.2017,Racing Club,Gimnasia de La Plata,3:1
8468235,argprimeradivision,2017-2018,11.12.2017,Estudiantes,Boca Juniors,0:1
8468237,argprimeradivision,2017-2018,11.12.2017,San Martín de San Juan,Defensa y Justicia,1:0
8468239,argprimeradivision,2017-2018,12.12.2017,Chacarita Juniors,Lanús,3:0
8468242,argprimeradivision,2017-2018,26.01.2018,Godoy Cruz,Chacarita Juniors,1:0
8468253,argprimeradivision,2017-2018,26.01.2018,Tigre,Banfield,1:2
8468251,argprimeradivision,2017-2018,27.01.2018,Talleres de Córdoba,San Lorenzo,2:0
8468241,argprimeradivision,2017-2018,27.01.2018,Defensa y Justicia,Vélez Sarsfield,0:1
8468248,argprimeradivision,2017-2018,27.01.2018,Newells Old Boys,Arsenal de Sarandí,2:1
8468243,argprimeradivision,2017-2018,27.01.2018,Lanús,Patronato de Paraná,1:1
8468250,argprimeradivision,2017-2018,28.01.2018,Boca Juniors,Colón de Santa Fe,2:0
8468244,argprimeradivision,2017-2018,28.01.2018,Olimpo de Bahía Blanca,Belgrano de Córdoba,1:2
8468254,argprimeradivision,2017-2018,28.01.2018,Argentinos Juniors,San Martín de San Juan,2:0
8468245,argprimeradivision,2017-2018,29.01.2018,Huracán,River Plate,1:0
8468246,argprimeradivision,2017-2018,29.01.2018,Unión de Santa Fe,Racing Club,2:1
8468247,argprimeradivision,2017-2018,29.01.2018,Gimnasia de La Plata,Rosario Central,2:1
8468252,argprimeradivision,2017-2018,29.01.2018,Atlético Tucumán,Temperley,3:0
8468249,argprimeradivision,2017-2018,30.01.2018,Independiente,Estudiantes,1:2
8468255,argprimeradivision,2017-2018,02.02.2018,Argentinos Juniors,Defensa y Justicia,2:1
8468267,argprimeradivision,2017-2018,02.02.2018,Patronato de Paraná,Godoy Cruz,0:0
8468266,argprimeradivision,2017-2018,03.02.2018,Belgrano de Córdoba,Lanús,0:0
8468257,argprimeradivision,2017-2018,03.02.2018,Banfield,Atlético Tucumán,0:0
8468263,argprimeradivision,2017-2018,03.02.2018,Rosario Central,Unión de Santa Fe,1:0
8468260,argprimeradivision,2017-2018,03.02.2018,Colón de Santa Fe,Independiente,0:1
8468265,argprimeradivision,2017-2018,04.02.2018,River Plate,Olimpo de Bahía Blanca,2:0
8468261,argprimeradivision,2017-2018,04.02.2018,Estudiantes,Newells Old Boys,4:2
8468262,argprimeradivision,2017-2018,04.02.2018,Arsenal de Sarandí,Gimnasia de La Plata,0:0
8468259,argprimeradivision,2017-2018,04.02.2018,San Lorenzo,Boca Juniors,1:1
8468264,argprimeradivision,2017-2018,05.02.2018,Racing Club,Huracán,4:0
8468258,argprimeradivision,2017-2018,05.02.2018,Temperley,Talleres de Córdoba,0:1
8468268,argprimeradivision,2017-2018,05.02.2018,Chacarita Juniors,Vélez Sarsfield,2:0
8468256,argprimeradivision,2017-2018,06.02.2018,San Martín de San Juan,Tigre,0:0
8468279,argprimeradivision,2017-2018,09.02.2018,Defensa y Justicia,Chacarita Juniors,4:2
8468285,argprimeradivision,2017-2018,09.02.2018,Unión de Santa Fe,Arsenal de Sarandí,0:0
8468287,argprimeradivision,2017-2018,10.02.2018,Newells Old Boys,Colón de Santa Fe,0:1
8468280,argprimeradivision,2017-2018,10.02.2018,Vélez Sarsfield,Patronato de Paraná,0:2
8468286,argprimeradivision,2017-2018,10.02.2018,Gimnasia de La Plata,Estudiantes,0:0
8468283,argprimeradivision,2017-2018,10.02.2018,Olimpo de Bahía Blanca,Racing Club,1:2
8468281,argprimeradivision,2017-2018,11.02.2018,Godoy Cruz,Belgrano de Córdoba,2:1
8468290,argprimeradivision,2017-2018,11.02.2018,Talleres de Córdoba,Banfield,1:0
8468289,argprimeradivision,2017-2018,11.02.2018,Boca Juniors,Temperley,1:0
8468282,argprimeradivision,2017-2018,12.02.2018,Lanús,River Plate,1:0
8468291,argprimeradivision,2017-2018,12.02.2018,Atlético Tucumán,San Martín de San Juan,2:1
8468292,argprimeradivision,2017-2018,12.02.2018,Tigre,Argentinos Juniors,2:0
8468284,argprimeradivision,2017-2018,13.02.2018,Huracán,Rosario Central,2:3
8468288,argprimeradivision,2017-2018,05.04.2018,Independiente,San Lorenzo,0:1
8468300,argprimeradivision,2017-2018,16.02.2018,Estudiantes,Unión de Santa Fe,2:0
8468303,argprimeradivision,2017-2018,16.02.2018,Racing Club,Lanús,3:1
8468305,argprimeradivision,2017-2018,17.02.2018,Belgrano de Córdoba,Vélez Sarsfield,2:2
8468294,argprimeradivision,2017-2018,17.02.2018,Argentinos Juniors,Atlético Tucumán,2:2
8468298,argprimeradivision,2017-2018,17.02.2018,San Lorenzo,Newells Old Boys,1:0
8468297,argprimeradivision,2017-2018,17.02.2018,Temperley,Independiente,0:0
8468302,argprimeradivision,2017-2018,18.02.2018,Rosario Central,Olimpo de Bahía Blanca,5:0
8468295,argprimeradivision,2017-2018,18.02.2018,San Martín de San Juan,Talleres de Córdoba,1:1
8468301,argprimeradivision,2017-2018,18.02.2018,Arsenal de Sarandí,Huracán,1:1
8468304,argprimeradivision,2017-2018,18.02.2018,River Plate,Godoy Cruz,2:2
8468296,argprimeradivision,2017-2018,19.02.2018,Banfield,Boca Juniors,0:1
8468293,argprimeradivision,2017-2018,19.02.2018,Tigre,Defensa y Justicia,1:1
8468306,argprimeradivision,2017-2018,19.02.2018,Patronato de Paraná,Chacarita Juniors,3:0
8468299,argprimeradivision,2017-2018,20.02.2018,Colón de Santa Fe,Gimnasia de La Plata,1:0
8468312,argprimeradivision,2017-2018,23.02.2018,Olimpo de Bahía Blanca,Arsenal de Sarandí,2:1
8468313,argprimeradivision,2017-2018,23.02.2018,Huracán,Estudiantes,1:0
8468310,argprimeradivision,2017-2018,24.02.2018,Godoy Cruz,Racing Club,1:2
8468307,argprimeradivision,2017-2018,24.02.2018,Defensa y Justicia,Patronato de Paraná,1:0
8468311,argprimeradivision,2017-2018,24.02.2018,Lanús,Rosario Central,1:1
8468309,argprimeradivision,2017-2018,24.02.2018,Vélez Sarsfield,River Plate,1:0
8468320,argprimeradivision,2017-2018,25.02.2018,Atlético Tucumán,Tigre,0:0
8468308,argprimeradivision,2017-2018,25.02.2018,Chacarita Juniors,Belgrano de Córdoba,0:1
8468317,argprimeradivision,2017-2018,25.02.2018,Independiente,Banfield,1:0
8468314,argprimeradivision,2017-2018,25.02.2018,Unión de Santa Fe,Colón de Santa Fe,1:1
8468318,argprimeradivision,2017-2018,25.02.2018,Boca Juniors,San Martín de San Juan,4:2
8468316,argprimeradivision,2017-2018,26.02.2018,Newells Old Boys,Temperley,0:0
8468319,argprimeradivision,2017-2018,26.02.2018,Talleres de Córdoba,Argentinos Juniors,2:0
8468315,argprimeradivision,2017-2018,27.02.2018,Gimnasia de La Plata,San Lorenzo,1:0
8468330,argprimeradivision,2017-2018,02.03.2018,Arsenal de Sarandí,Lanús,2:1
8468334,argprimeradivision,2017-2018,02.03.2018,Belgrano de Córdoba,Patronato de Paraná,2:2
8468328,argprimeradivision,2017-2018,03.03.2018,Colón de Santa Fe,Huracán,0:0
8468322,argprimeradivision,2017-2018,03.03.2018,Tigre,Talleres de Córdoba,0:0
8468327,argprimeradivision,2017-2018,03.03.2018,San Lorenzo,Unión de Santa Fe,0:0
8468331,argprimeradivision,2017-2018,03.03.2018,Rosario Central,Godoy Cruz,1:2
8468326,argprimeradivision,2017-2018,04.03.2018,Temperley,Gimnasia de La Plata,1:1
8468321,argprimeradivision,2017-2018,04.03.2018,Atlético Tucumán,Defensa y Justicia,0:1
8468325,argprimeradivision,2017-2018,04.03.2018,Banfield,Newells Old Boys,1:0
8468333,argprimeradivision,2017-2018,04.03.2018,River Plate,Chacarita Juniors,1:1
8468332,argprimeradivision,2017-2018,05.03.2018,Racing Club,Vélez Sarsfield,2:1
8468324,argprimeradivision,2017-2018,05.03.2018,San Martín de San Juan,Independiente,0:4
8468329,argprimeradivision,2017-2018,05.03.2018,Estudiantes,Olimpo de Bahía Blanca,1:0
8468323,argprimeradivision,2017-2018,06.03.2018,Argentinos Juniors,Boca Juniors,2:0
8468339,argprimeradivision,2017-2018,09.03.2018,Godoy Cruz,Arsenal de Sarandí,1:0
8468344,argprimeradivision,2017-2018,09.03.2018,Gimnasia de La Plata,Banfield,0:2
8468348,argprimeradivision,2017-2018,10.03.2018,Talleres de Córdoba,Atlético Tucumán,3:1
8468337,argprimeradivision,2017-2018,10.03.2018,Chacarita Juniors,Racing Club,1:1
8468341,argprimeradivision,2017-2018,10.03.2018,Olimpo de Bahía Blanca,Colón de Santa Fe,0:3
8468347,argprimeradivision,2017-2018,10.03.2018,Boca Juniors,Tigre,2:1
8468336,argprimeradivision,2017-2018,11.03.2018,Patronato de Paraná,River Plate,0:1
8468340,argprimeradivision,2017-2018,11.03.2018,Lanús,Estudiantes,0:0
8468342,argprimeradivision,2017-2018,11.03.2018,Huracán,San Lorenzo,1:1
8468338,argprimeradivision,2017-2018,11.03.2018,Vélez Sarsfield,Rosario Central,2:2
8468346,argprimeradivision,2017-2018,12.03.2018,Independiente,Argentinos Juniors,2:1
8468335,argprimeradivision,2017-2018,12.03.2018,Defensa y Justicia,Belgrano de Córdoba,1:1
8468343,argprimeradivision,2017-2018,12.03.2018,Unión de Santa Fe,Temperley,3:0
8468345,argprimeradivision,2017-2018,13.03.2018,Newells Old Boys,San Martín de San Juan,2:0
8468360,argprimeradivision,2017-2018,16.03.2018,Rosario Central,Chacarita Juniors,3:1
8468357,argprimeradivision,2017-2018,17.03.2018,Colón de Santa Fe,Lanús,1:2
8468352,argprimeradivision,2017-2018,17.03.2018,Argentinos Juniors,Newells Old Boys,1:0
8468355,argprimeradivision,2017-2018,17.03.2018,Temperley,Huracán,1:2
8468353,argprimeradivision,2017-2018,17.03.2018,San Martín de San Juan,Gimnasia de La Plata,3:0
8468356,argprimeradivision,2017-2018,17.03.2018,San Lorenzo,Olimpo de Bahía Blanca,2:0
8468349,argprimeradivision,2017-2018,18.03.2018,Talleres de Córdoba,Defensa y Justicia,1:0
8468361,argprimeradivision,2017-2018,18.03.2018,Racing Club,Patronato de Paraná,5:0
8468359,argprimeradivision,2017-2018,18.03.2018,Arsenal de Sarandí,Vélez Sarsfield,1:1
8468358,argprimeradivision,2017-2018,18.03.2018,Estudiantes,Godoy Cruz,0:1
8468350,argprimeradivision,2017-2018,18.03.2018,Atlético Tucumán,Boca Juniors,1:1
8468362,argprimeradivision,2017-2018,19.03.2018,River Plate,Belgrano de Córdoba,3:1
8468354,argprimeradivision,2017-2018,19.03.2018,Banfield,Unión de Santa Fe,0:2
8468351,argprimeradivision,2017-2018,20.03.2018,Tigre,Independiente,1:1
8468371,argprimeradivision,2017-2018,31.03.2018,Huracán,Banfield,1:1
8468364,argprimeradivision,2017-2018,31.03.2018,Belgrano de Córdoba,Racing Club,2:2
8468367,argprimeradivision,2017-2018,31.03.2018,Vélez Sarsfield,Estudiantes,3:3
8468374,argprimeradivision,2017-2018,31.03.2018,Newells Old Boys,Tigre,2:1
8468373,argprimeradivision,2017-2018,31.03.2018,Gimnasia de La Plata,Argentinos Juniors,1:3
8468372,argprimeradivision,2017-2018,31.03.2018,Unión de Santa Fe,San Martín de San Juan,1:1
8468375,argprimeradivision,2017-2018,01.04.2018,Independiente,Atlético Tucumán,0:2
8468363,argprimeradivision,2017-2018,01.04.2018,Defensa y Justicia,River Plate,1:3
8468366,argprimeradivision,2017-2018,01.04.2018,Chacarita Juniors,Arsenal de Sarandí,2:2
8468365,argprimeradivision,2017-2018,01.04.2018,Patronato de Paraná,Rosario Central,3:0
8468376,argprimeradivision,2017-2018,01.04.2018,Boca Juniors,Talleres de Córdoba,2:1
8468369,argprimeradivision,2017-2018,02.04.2018,Lanús,San Lorenzo,0:2
8468370,argprimeradivision,2017-2018,03.04.2018,Olimpo de Bahía Blanca,Temperley,1:1
8468368,argprimeradivision,2017-2018,03.04.2018,Godoy Cruz,Colón de Santa Fe,2:1
8468380,argprimeradivision,2017-2018,07.04.2018,Tigre,Gimnasia de La Plata,2:0
8468381,argprimeradivision,2017-2018,07.04.2018,Argentinos Juniors,Unión de Santa Fe,3:1
8468384,argprimeradivision,2017-2018,07.04.2018,Temperley,Lanús,2:2
8468389,argprimeradivision,2017-2018,07.04.2018,Rosario Central,Belgrano de Córdoba,2:1
8468383,argprimeradivision,2017-2018,07.04.2018,Banfield,Olimpo de Bahía Blanca,3:0
